customer_id,first_name,age,gender,postal_code,email,phone_number,membership_status,join_date,last_purchase_date,total_spending,average_order_value,frequency,preferred_category,churn
1,Sophie,22,F,69009,user1@example.com,33730156080,Silver,2021-04-28 11:46:00,2022-03-24 15:13:00,114.79,4.42,14,Bakery,No
2,Eva,31,M,69006,user2@example.com,33784773631,Silver,2019-03-31 15:46:00,2020-03-27 13:15:00,1158.16,128.68,13,Bread,No
3,John,28,F,69001,user3@example.com,33708529907,Gold,2022-08-18 16:37:00,2023-05-21 11:32:00,1142.12,67.18,36,Bakery,Yes
4,Tom,23,F,69006,user4@example.com,33790711983,Silver,2019-10-14 10:54:00,2019-12-07 09:44:00,496.86,19.87,49,Tarts,Yes
5,Emma,34,M,69005,user5@example.com,33771079011,Silver,2019-05-11 13:55:00,2020-03-13 14:22:00,1212.16,41.8,26,Bread,No
6,Anna,23,F,69009,user6@example.com,33710852816,Gold,2019-05-01 15:43:00,2020-02-05 16:19:00,1288.74,85.92,17,Bakery,No
7,Lucas,32,F,69005,user7@example.com,33795658596,Basic,2019-12-09 14:00:00,2021-05-29 10:49:00,696.14,15.82,33,Tarts,Yes
8,Paul,48,F,69006,user8@example.com,33783994679,Silver,2022-09-21 11:05:00,2025-11-22 15:26:00,857.83,95.31,7,Bread,Yes
9,Anna,38,F,69008,user9@example.com,33722118485,Basic,2019-12-16 12:15:00,2023-02-21 15:50:00,603.27,25.14,42,Bread,No
10,Lucas,39,M,69008,user10@example.com,33762973142,Silver,2021-01-13 09:11:00,2024-05-27 11:34:00,173.48,5.26,5,Tarts,Yes
11,Anna,33,F,69001,user11@example.com,33702743835,Gold,2020-04-13 12:45:00,2022-03-23 10:29:00,1215.84,121.58,8,Tarts,No
12,Eva,38,F,69005,user12@example.com,33774734324,Basic,2023-01-11 10:16:00,2024-11-08 13:51:00,992.93,70.92,13,Tarts,No
13,Louis,32,M,69004,user13@example.com,33763233110,Basic,2021-02-06 10:07:00,2022-09-01 13:29:00,924.78,66.06,9,Bakery,No
14,Emma,52,F,69008,user14@example.com,33787591702,Basic,2021-04-04 12:52:00,2024-09-08 14:50:00,712.25,47.48,29,Bakery,Yes
15,John,22,F,69007,user15@example.com,33768319431,Basic,2021-10-17 11:10:00,2022-06-24 16:10:00,1298.3,81.14,45,Tarts,Yes
16,Lucas,59,F,69002,user16@example.com,33708490718,Silver,2021-12-15 16:58:00,2024-02-17 10:48:00,80.22,1.91,39,Bread,No
17,Anna,54,M,69008,user17@example.com,33781297261,Silver,2021-02-16 16:21:00,2021-11-02 16:57:00,1037.44,47.16,18,Bakery,No
18,Sophie,44,F,69003,user18@example.com,33721668682,Gold,2021-09-13 09:10:00,2022-04-09 15:25:00,923.25,54.31,7,Bakery,No
19,Lucas,42,F,69008,user19@example.com,33723959029,Silver,2020-08-23 12:20:00,2024-04-02 12:33:00,1308.38,30.43,42,Bakery,Yes
20,Lucas,45,M,69004,user20@example.com,33788357619,Gold,2021-11-11 14:56:00,2024-06-10 09:00:00,824.03,37.46,32,Bakery,Yes
21,Tom,20,F,69009,user21@example.com,33731689098,Gold,2019-10-14 12:27:00,2023-04-13 12:36:00,281.02,6.69,14,Tarts,No
22,Lucas,50,M,69002,user22@example.com,33732646699,Gold,2021-04-22 14:21:00,2022-03-26 12:22:00,394.08,10.37,36,Bread,No
23,Anna,43,F,69003,user23@example.com,33726866255,Silver,2020-11-24 11:24:00,2024-05-06 15:47:00,1370.05,27.96,48,Bread,Yes
24,Louis,23,M,69009,user24@example.com,33721561255,Silver,2023-01-03 13:12:00,2023-11-02 12:02:00,569.99,24.78,24,Bakery,Yes
25,Louis,60,F,69002,user25@example.com,33701574108,Basic,2020-03-30 13:19:00,2020-07-27 15:44:00,1372.58,124.78,10,Bread,No
26,Anna,20,M,69007,user26@example.com,33764019350,Basic,2020-10-28 10:51:00,2021-02-10 16:14:00,755.23,50.35,34,Bakery,Yes
27,Lucas,24,M,69003,user27@example.com,33775991728,Gold,2022-08-05 09:51:00,2026-05-29 14:30:00,670.89,27.95,36,Bread,Yes
28,John,38,M,69003,user28@example.com,33755455526,Silver,2021-10-30 16:03:00,2022-05-18 13:50:00,1012.12,48.2,48,Bread,No
29,Lucas,43,F,69005,user29@example.com,33771499250,Gold,2020-05-19 09:54:00,2024-01-29 11:14:00,1026.26,28.51,23,Bread,No
30,Paul,33,F,69007,user30@example.com,33740047082,Basic,2020-01-08 14:07:00,2024-01-07 14:29:00,846.75,23.52,15,Tarts,No
31,John,35,M,69006,user31@example.com,33755101884,Gold,2020-11-05 16:29:00,2021-04-16 11:44:00,1448.66,76.25,20,Bakery,No
32,Emma,46,M,69001,user32@example.com,33741916141,Basic,2022-12-26 10:35:00,2025-10-02 09:10:00,675.44,39.73,9,Tarts,Yes
33,Sophie,19,M,69001,user33@example.com,33747440430,Silver,2021-02-01 09:43:00,2022-12-31 09:41:00,1452.39,33.78,38,Tarts,Yes
34,Louis,51,M,69009,user34@example.com,33720617948,Silver,2019-02-20 16:02:00,2020-09-27 16:45:00,1265.79,36.17,15,Tarts,Yes
35,Eva,44,F,69005,user35@example.com,33764808362,Silver,2019-10-04 12:41:00,2022-04-25 09:33:00,1344.17,122.2,9,Bread,Yes
36,Emma,24,F,69009,user36@example.com,33754032916,Gold,2022-10-12 15:10:00,2026-07-31 15:26:00,532.11,28.01,30,Bread,Yes
37,Tom,55,M,69008,user37@example.com,33722378169,Gold,2022-03-05 16:49:00,2024-02-01 13:47:00,282.28,18.82,7,Bakery,No
38,Paul,60,F,69004,user38@example.com,33779071572,Silver,2019-08-23 14:02:00,2021-03-13 10:11:00,112.25,2.25,25,Tarts,No
39,Paul,23,M,69004,user39@example.com,33789829465,Gold,2022-04-23 13:59:00,2022-05-28 16:59:00,418.06,29.86,24,Bread,No
40,Anna,21,M,69001,user40@example.com,33779346097,Basic,2022-04-03 14:15:00,2023-12-10 12:47:00,90.86,7.57,41,Tarts,Yes
41,John,51,F,69007,user41@example.com,33719863971,Silver,2022-11-04 09:25:00,2023-11-12 13:26:00,1322.97,55.12,35,Tarts,Yes
42,Tom,30,F,69008,user42@example.com,33758904310,Basic,2021-10-06 16:23:00,2024-03-20 15:41:00,1287.09,49.5,9,Bread,No
43,Sophie,18,F,69002,user43@example.com,33713421576,Gold,2022-04-30 10:19:00,2025-12-09 10:48:00,1469.44,91.84,29,Bakery,No
44,Louis,49,M,69004,user44@example.com,33794349456,Basic,2022-06-08 14:06:00,2023-02-16 12:51:00,933.08,77.76,14,Bakery,Yes
45,Louis,43,M,69009,user45@example.com,33726293610,Basic,2020-07-29 15:56:00,2023-09-27 12:26:00,771.65,22.05,34,Bread,No
46,Anna,27,F,69001,user46@example.com,33740987186,Gold,2021-09-22 09:13:00,2023-08-04 15:28:00,505.75,33.72,18,Bakery,Yes
47,Eva,42,M,69006,user47@example.com,33754676060,Basic,2023-01-21 10:13:00,2023-09-05 12:53:00,1191.82,29.8,40,Bread,Yes
48,Marie,23,F,69007,user48@example.com,33772830497,Silver,2021-03-17 10:31:00,2023-01-07 14:12:00,985.07,37.89,30,Bakery,No
49,Eva,57,M,69008,user49@example.com,33705872253,Silver,2019-09-22 14:01:00,2023-02-26 12:52:00,1252.85,78.3,49,Bakery,Yes
50,Eva,42,M,69009,user50@example.com,33701144964,Basic,2022-02-17 11:15:00,2024-12-15 09:14:00,1185.13,38.23,24,Bread,Yes
51,Marie,18,F,69002,user51@example.com,33706562778,Basic,2020-01-22 10:21:00,2020-05-09 11:20:00,428.46,25.2,47,Bakery,No
52,Marie,39,M,69009,user52@example.com,33710690616,Basic,2022-10-31 09:01:00,2026-08-11 10:40:00,885.55,18.07,47,Bakery,No
53,Marie,52,M,69007,user53@example.com,33755540420,Gold,2020-01-29 09:48:00,2021-03-20 09:51:00,1070.98,22.79,13,Tarts,Yes
54,Sophie,33,M,69008,user54@example.com,33785369521,Gold,2019-02-23 11:37:00,2019-12-11 13:36:00,560.62,16.99,18,Bakery,Yes
55,Marie,39,M,69001,user55@example.com,33762906880,Silver,2020-04-25 13:01:00,2021-08-20 11:41:00,81.89,3.03,6,Bakery,No
56,Emma,37,F,69003,user56@example.com,33767004462,Silver,2019-07-28 13:57:00,2023-07-26 13:25:00,368.18,46.02,27,Tarts,Yes
